;Definition;Type;Example;synonyms
bouquet;"A bouquet is a bunch of flowers which is attractively arranged.
";countable noun; The woman carried a bouquet of dried violets.;spray,garland,wreath,aroma,smell,scent,perfume,
spray;"Spray is a lot of small drops of water which are being thrown into the air.
";variable noun; The moon was casting a rainbow through the spray from the waterfall.;moisture,drizzle,scatter,shower,sprinkle,diffuse,sprig,buttonhole,branch,
garland;"A garland is a circular decoration made from flowers and leaves. People sometimes wear garlands of flowers on their
heads or around their necks.
";countable noun; They wore garlands of summer flowers in their hair.;wreath,band,crown,adorn,crown,deck,festoon,
wreath;"A wreath is an arrangement of flowers and leaves, usually in the shape of a circle, which you put on a grave or by a statue to show that you remember a person who has died or people who have died.
";countable noun; The coffin lying before the altar was bare, except for a single wreath of white roses.;
clump;"A clump of things such as trees or plants is a small group of them growing together.
";countable noun; ...a clump of trees bordering a side road.;cluster,group,mass,bunch,stamp,stump,thump,
bundle;"A bundle of things is a number of them that are tied together or wrapped in a cloth or bag so that they can be carried or stored.
";countable noun;" She produced a bundle of notes and proceeded to count out one hundred and ninety-five
pounds.";bunch,group,collection,mass,
wrinkle;"Wrinkles are lines which form on someone's face as they grow old.
";countable noun; His face was covered with wrinkles.;line,fold,crease,furrow,lined,shrivelled,wizened,crease,gather,fold,crumple,crease,line,gather,fold,crumpled,
pleat;"A pleat in a piece of clothing is a permanent fold that is made in the cloth by folding one part over the other and sewing across the top end of the fold.
";countable noun; Pin fabric pleats together at each side.;fold,crease,gather,tuck,
ruffle;"If you ruffle someone's hair, you move your hand backwards and forwards through it as a way of showing your affection towards them.
";verb; 'Don't let that get you down,' he said ruffling Ben's dark curls.;ripple,annoy,worry,trouble,upset,
pressing;"A pressing problem, need, or issue has to be dealt with immediately.
";adjective; It is one of the most pressing problems facing this country.;urgent,serious,burning,vital,
blazing;" Blazing sun or blazing hot weather is very hot.
";adjective; Quite a few people were eating outside in the blazing sun.;furious,excited,angry,raging,
flaming;"Flaming is used to describe something that is burning and producing a lot of flames.
";adjective; The plane, which was full of fuel, scattered flaming fragments over a large area.;intense,angry,raging,impassioned,
fiery;"If you describe something as fiery, you mean that it is burning strongly or contains fire.
";adjective; A helicopter crashed in a fiery explosion in Vallejo.;spicy,hot,pungent,piquant,
scorch;"To scorch something means to burn it slightly.
";verb; The bomb scorched the side of the building.;burn,sear,char,roast,shrivel,burn,wither,bake,tear,speed,zoom,bomb,
toast;"Toast is bread which has been cut into slices and made brown and crisp by cooking at a high temperature.
";uncountable noun; ...a piece of toast.;brown,crisp,roast,honour,salute,favourite,celebrity,darling,talk,
char;"If food chars or if you char it, it burns slightly and turns black as it is cooking.
";verb; Toast hazelnuts on a baking sheet until the skins char.;scorch,sear,singe,
glow;"A glow is a dull, steady light, for example the light produced by a fire when there are no flames.
";countable noun; ...the cigarette's red glow.;light,gleam,splendour,glimmer,colour,bloom,flush,blush,shine,burn,gleam,brighten,colour,flush,blush,thrill,radiate,tingle,
blush;"When you blush, your face becomes redder than usual because you are ashamed or embarrassed.
";verb; 'Hello, Maria,' he said, and she blushed again.;colour,burn,flame,
flush;"If you flush, your face goes red because you are hot or ill, or because you are feeling a strong emotion such as embarrassment or anger.
";verb; Do you sweat a lot or flush a lot?;blush,colour,burn,flame,red,hot,burning,cleanse,force,dislodge,level,even,true,flat,affluent,liberal,generous,lavish,bloom,glow,vigour,
colour;"The colour of something is the appearance that it has as a result of the way in which it reflects
light. Red, blue, and green are colours.
";countable noun; 'What colour is the car?'—'Red.';hue,tone,shade,tint,paint,stain,dye,tint,tint,stain,dye,blush,flush,redden,influence,affect,prejudice,distort,
inter;"When a dead person is interred, they are buried.
";verb; ...the spot where his bones were originally interred.;bury,entomb,sepulchre,
entomb;"If something is entombed, it is buried or permanently trapped by something.
";verb; The city was entombed in volcanic lava.;
sepulchre;"A sepulchre is a building or room in which a dead person is buried.
";countable noun;;tomb,grave,vault,mausoleum,
conceal;"If you conceal something, you cover it or hide it carefully.
";verb; Frances decided to conceal the machine behind a hinged panel.;hide,disguise,mask,
embed;"If an object embeds itself in a substance or thing, it becomes fixed there firmly and deeply.
";verb;" The bullet blew off the tip of his forefinger before embedding itself in the wall
beside Williams' head.";
immerse;"If you immerse yourself in something that you are doing, you become completely involved in it.
";verb; Since then I've lived alone and immersed myself in my career.;engrossed,involved,absorbed,deep,plunge,dip,submerge,sink,
enfold;"If something enfolds an object or person, they cover, surround, or are wrapped around that object or person.
";verb; Aurora felt the opium haze enfold her.;wrap,surround,enclose,
implant;"To implant something into a person's body means to put it there, usually by means of a medical operation.
";verb; He had implanted a laboratory-grown windpipe into a man stricken by throat cancer.;insert,instil,sow,infuse,inculcate,
selling;the act of offering something for sale;noun;Selling tickets would allow members to bring guests knowing there would be seats available for them.;
calling;"A calling is a profession or career which someone is strongly attracted to, especially one which involves helping other people.
";countable noun; He was a consultant physician, a serious man dedicated to his calling.;profession,work,business,line,
hectic;"A hectic situation is one that is very busy and involves a lot of rushed activity.
";adjective; Despite his hectic work schedule, Benny has rarely suffered poor health.;frantic,chaotic,frenzied,heated,
tiring;"If you describe something as tiring, you mean that it makes you tired so that you want to rest or sleep.
";adjective; It had been a long and tiring day.;demanding,wearing,tough,
